Threads,Run,Time (ms)
1,0,681.9843
1,1,682.0749
1,2,692.5446
1,3,694.3361
1,4,683.1548
1,5,677.262
1,6,680.5613
1,7,693.8386
1,8,687.3236
1,9,685.3737
1,10,684.0941
1,11,683.1354
1,12,674.7428
1,13,683.8729
1,14,700.4427
1,15,684.1498
1,16,694.9849
1,17,675.4465
1,18,687.4175
1,19,673.4746
1,20,695.389
1,21,697.6718
1,22,697.3622
1,23,694.9366
1,24,696.6037
1,25,690.297
1,26,682.4515
1,27,678.3434
1,28,690.2205
1,29,680.4059
1,30,697.7047
1,31,686.2208
1,32,693.4476
1,33,703.4594
1,34,688.7968
1,35,681.3642
1,36,689.4943
1,37,677.7305
1,38,690.7598
1,39,681.7391
1,40,697.7716
1,41,686.0601
1,42,680.2813
1,43,674.8677
1,44,700.728
1,45,686.7935
1,46,690.6673
1,47,692.7243
1,48,678.384
1,49,683.6994
1,50,683.7429
1,51,692.7608
1,52,685.8023
1,53,690.5593
1,54,698.6165
1,55,692.9451
1,56,694.5582
1,57,677.9237
1,58,684.5807
1,59,679.8865
1,60,688.6661
2,0,235.0301
2,1,232.1942
2,2,235.9873
2,3,229.7295
2,4,241.3744
2,5,229.831
2,6,238.7093
2,7,240.3218
2,8,235.1888
2,9,232.8304
2,10,244.1421
2,11,230.6633
2,12,238.0661
2,13,248.026
2,14,228.9371
2,15,238.8171
2,16,231.6057
2,17,233.3127
2,18,226.1983
2,19,228.1003
2,20,233.1052
2,21,234.312
2,22,231.9107
2,23,238.4681
2,24,249.1085
2,25,232.6452
2,26,229.307
2,27,232.5963
2,28,226.3758
2,29,238.6078
2,30,232.6025
2,31,244.3977
2,32,230.4479
2,33,242.3283
2,34,237.4509
2,35,232.1315
2,36,230.2176
2,37,234.4065
2,38,239.1843
2,39,236.118
2,40,231.368
2,41,231.6338
2,42,230.5528
2,43,242.6437
2,44,227.1949
2,45,241.6033
2,46,236.6606
2,47,230.4391
2,48,235.8135
2,49,233.3015
2,50,227.8027
2,51,235.427
2,52,229.0295
2,53,236.4906
2,54,242.3702
2,55,236.3087
2,56,235.9163
2,57,241.6379
2,58,234.8943
2,59,234.8874
2,60,239.9202
4,0,241.7808
4,1,235.0835
4,2,234.5174
4,3,244.4314
4,4,232.196
4,5,249.4848
4,6,232.3679
4,7,229.6477
4,8,230.363
4,9,232.3807
4,10,227.4543
4,11,232.6667
4,12,235.1578
4,13,229.5986
4,14,239.4792
4,15,236.2889
4,16,236.4986
4,17,240.3171
4,18,243.6766
4,19,233.1236
4,20,241.3309
4,21,235.8059
4,22,235.182
4,23,238.9741
4,24,235.9573
4,25,234.1046
4,26,232.4601
4,27,238.9596
4,28,237.1029
4,29,237.6902
4,30,238.7868
4,31,245.4151
4,32,228.1869
4,33,238.4358
4,34,236.3858
4,35,231.4428
4,36,235.4604
4,37,244.4472
4,38,231.9311
4,39,237.6526
4,40,238.0909
4,41,235.6219
4,42,233.5409
4,43,239.8857
4,44,239.187
4,45,230.3911
4,46,237.4669
4,47,241.0521
4,48,241.9077
4,49,231.0843
4,50,235.511
4,51,225.4898
4,52,241.8852
4,53,225.9896
4,54,233.5743
4,55,236.1649
4,56,232.0172
4,57,246.4504
4,58,230.232
4,59,227.1135
4,60,237.0044
8,0,235.2753
8,1,232.5102
8,2,235.8587
8,3,238.4241
8,4,239.6605
8,5,241.2579
8,6,235.0761
8,7,239.9575
8,8,234.625
8,9,242.3659
8,10,233.9502
8,11,234.0423
8,12,241.0208
8,13,232.1355
8,14,235.3986
8,15,230.0082
8,16,232.3085
8,17,236.7618
8,18,235.9269
8,19,238.2022
8,20,242.536
8,21,235.0025
8,22,233.2667
8,23,247.2211
8,24,234.9308
8,25,236.6295
8,26,234.97
8,27,238.7145
8,28,236.592
8,29,238.35
8,30,234.0349
8,31,239.1589
8,32,239.5804
8,33,237.054
8,34,238.1931
8,35,232.7929
8,36,234.576
8,37,238.1311
8,38,238.2008
8,39,239.3557
8,40,233.7592
8,41,240.8803
8,42,238.9213
8,43,238.2708
8,44,236.4478
8,45,238.9316
8,46,243.2005
8,47,248.1121
8,48,244.2422
8,49,247.7293
8,50,250.4696
8,51,247.871
8,52,244.2812
8,53,248.6506
8,54,240.1423
8,55,249.6106
8,56,247.1778
8,57,249.1381
8,58,250.8789
8,59,237.5515
8,60,248.6032
16,0,239.1251
16,1,235.044
16,2,242.9657
16,3,237.5174
16,4,241.4272
16,5,239.0459
16,6,242.4864
16,7,240.0201
16,8,254.1363
16,9,252.3995
16,10,248.6596
16,11,245.7326
16,12,246.1661
16,13,254.2283
16,14,255.8743
16,15,250.4785
16,16,255.855
16,17,266.5293
16,18,254.4129
16,19,253.6269
16,20,255.1885
16,21,247.0609
16,22,248.2875
16,23,242.208
16,24,248.2328
16,25,246.1759
16,26,246.676
16,27,250.2672
16,28,251.6312
16,29,250.1869
16,30,243.9168
16,31,249.1029
16,32,250.7022
16,33,257.3615
16,34,261.421
16,35,244.5985
16,36,258.0926
16,37,251.1306
16,38,249.2455
16,39,250.7673
16,40,250.9634
16,41,260.4246
16,42,247.6277
16,43,248.8517
16,44,251.5849
16,45,245.8547
16,46,249.6477
16,47,251.8629
16,48,250.7411
16,49,249.0117
16,50,252.5388
16,51,246.1421
16,52,250.4745
16,53,251.9573
16,54,249.5684
16,55,246.3529
16,56,244.4501
16,57,255.7278
16,58,263.3892
16,59,257.3638
16,60,257.8563
32,0,259.3275
32,1,264.9967
32,2,256.338
32,3,262.0839
32,4,262.4721
32,5,260.9348
32,6,256.8073
32,7,252.3579
32,8,252.5472
32,9,254.8748
32,10,259.7695
32,11,256.6067
32,12,251.8149
32,13,254.8126
32,14,250.8069
32,15,258.6931
32,16,246.1016
32,17,260.7852
32,18,255.5571
32,19,268.0165
32,20,270.1895
32,21,266.1475
32,22,266.8265
32,23,272.8777
32,24,268.9305
32,25,262.5942
32,26,269.2406
32,27,266.3428
32,28,274.4808
32,29,269.0652
32,30,270.2358
32,31,260.248
32,32,254.6602
32,33,259.6679
32,34,257.271
32,35,252.9903
32,36,257.4791
32,37,258.6051
32,38,261.9031
32,39,260.5602
32,40,272.2465
32,41,268.4587
32,42,262.1122
32,43,260.8499
32,44,268.0435
32,45,278.8033
32,46,273.0025
32,47,276.5453
32,48,275.1707
32,49,270.0866
32,50,276.2714
32,51,278.7048
32,52,274.946
32,53,281.8051
32,54,280.7161
32,55,279.2974
32,56,268.7682
32,57,273.3182
32,58,273.8851
32,59,268.324
32,60,271.473
